scenario_id,hour,wind_mw,da_price,si
0_6_1,3,244.173,6.03,1
0_6_1,4,260.713,22.51,1
0_6_1,5,250.639,42.64,1
0_6_1,6,229.697,44.91,0
0_6_1,7,226.954,44.22,1
0_6_1,8,245.55,43.21,1
0_6_1,9,286.88,42.88,0
0_6_1,10,337.019,42.44,1
0_6_1,11,360.497,42.33,0
0_6_1,12,366.494,42.32,1
0_6_1,13,365.482,42.16,1
0_6_1,14,360.242,42.09,1
0_6_1,15,339.446,42.19,0
0_6_1,16,312.169,43.04,1
0_6_1,17,303.245,44.65,1
0_6_1,18,302.631,45.03,0
0_6_1,19,285.553,44.25,0
0_6_1,20,285.996,42.96,1
0_6_1,21,278.198,41.7,0
0_6_1,22,281.366,36.77,0
0_6_1,23,266.8,39.08,1
0_6_2,0,140.521,12.86,0
0_6_2,1,172.419,14.27,1
0_6_2,2,209.245,14.45,0
0_6_2,3,244.173,6.03,1
0_6_2,4,260.713,22.51,0
0_6_2,5,250.639,42.64,1
0_6_2,6,229.697,44.91,0
0_6_2,7,226.954,44.22,1
0_6_2,8,245.55,43.21,0
0_6_2,9,286.88,42.88,1
0_6_2,10,337.019,42.44,1
0_6_2,11,360.497,42.33,1
0_6_2,12,366.494,42.32,1
0_6_2,13,365.482,42.16,0
0_6_2,14,360.242,42.09,1
0_6_2,15,339.446,42.19,0
0_6_2,16,312.169,43.04,0
0_6_2,17,303.245,44.65,0
0_6_2,18,302.631,45.03,1
0_6_2,19,285.553,44.25,1
0_6_2,20,285.996,42.96,0
0_6_2,21,278.198,41.7,1
0_6_2,22,281.366,36.77,0
0_6_2,23,266.8,39.08,0
0_6_3,0,140.521,12.86,0
0_6_3,1,172.419,14.27,0
0_6_3,2,209.245,14.45,0
0_6_3,3,244.173,6.03,1
0_6_3,4,260.713,22.51,1
0_6_3,5,250.639,42.64,0
0_6_3,6,229.697,44.91,0
0_6_3,7,226.954,44.22,0
0_6_3,8,245.55,43.21,1
0_6_3,9,286.88,42.88,0
0_6_3,10,337.019,42.44,1
0_6_3,11,360.497,42.33,1
0_6_3,12,366.494,42.32,1
0_6_3,13,365.482,42.16,1
0_6_3,14,360.242,42.09,0
0_6_3,15,339.446,42.19,1
0_6_3,16,312.169,43.04,1
0_6_3,17,303.245,44.65,1
0_6_3,18,302.631,45.03,0
0_6_3,19,285.553,44.25,0
0_6_3,20,285.996,42.96,0
0_6_3,21,278.198,41.7,1
0_6_3,22,281.366,36.77,1
0_6_3,23,266.8,39.08,1
0_7_0,0,140.521,32.64,0
0_7_0,1,172.419,31.16,0
0_7_0,2,209.245,29.56,0
0_7_0,3,244.173,29.72,0
0_7_0,4,260.713,27.51,0
0_7_0,5,250.639,27.6,1
0_7_0,6,229.697,30.9,1
0_7_0,7,226.954,29.4,0
0_7_0,8,245.55,28.88,0
0_7_0,9,286.88,28.65,0
0_7_0,10,337.019,21.12,0
0_7_0,11,360.497,4.9,0
0_7_0,12,366.494,-2.46,1
0_7_0,13,365.482,-2.82,0
0_7_0,14,360.242,1.98,1
0_7_0,15,339.446,19.61,1
0_7_0,16,312.169,29.65,0
0_7_0,17,303.245,34.51,1
0_7_0,18,302.631,37.25,1
0_7_0,19,285.553,33.2,0
0_7_0,20,285.996,33.68,0
0_7_0,21,278.198,12.78,1
0_7_0,22,281.366,13.04,1
0_7_0,23,266.8,5.06,1
0_7_1,0,140.521,32.64,1
0_7_1,1,172.419,31.16,1
0_7_1,2,209.245,29.56,1
0_7_1,3,244.173,29.72,1
0_7_1,4,260.713,27.51,1
0_7_1,5,250.639,27.6,1
0_7_1,6,229.697,30.9,0
0_7_1,7,226.954,29.4,1
0_7_1,8,245.55,28.88,1
0_7_1,9,286.88,28.65,0
0_7_1,10,337.019,21.12,1
0_7_1,11,360.497,4.9,0
0_7_1,12,366.494,-2.46,1
0_7_1,13,365.482,-2.82,1
0_7_1,14,360.242,1.98,1
0_7_1,15,339.446,19.61,0
0_7_1,16,312.169,29.65,1
0_7_1,17,303.245,34.51,1
0_7_1,18,302.631,37.25,0
0_7_1,19,285.553,33.2,0
0_7_1,20,285.996,33.68,1
0_7_1,21,278.198,12.78,0
0_7_1,22,281.366,13.04,0
0_7_1,23,266.8,5.06,1
0_7_2,0,140.521,32.64,0
0_7_2,1,172.419,31.16,1
0_7_2,2,209.245,29.56,0
0_7_2,3,244.173,29.72,1
0_7_2,4,260.713,27.51,0
0_7_2,5,250.639,27.6,1
0_7_2,6,229.697,30.9,0
0_7_2,7,226.954,29.4,1
0_7_2,8,245.55,28.88,0
0_7_2,9,286.88,28.65,1
0_7_2,10,337.019,21.12,1
0_7_2,11,360.497,4.9,1
0_7_2,12,366.494,-2.46,1
0_7_2,13,365.482,-2.82,0
0_7_2,14,360.242,1.98,1
0_7_2,15,339.446,19.61,0
0_7_2,16,312.169,29.65,0
0_7_2,17,303.245,34.51,0
0_7_2,18,302.631,37.25,1
0_7_2,19,285.553,33.2,1
0_7_2,20,285.996,33.68,0
0_7_2,21,278.198,12.78,1
0_7_2,22,281.366,13.04,0
0_7_2,23,266.8,5.06,0
0_7_3,0,140.521,32.64,0
0_7_3,1,172.419,31.16,0
0_7_3,2,209.245,29.56,0
0_7_3,3,244.173,29.72,1
0_7_3,4,260.713,27.51,1
0_7_3,5,250.639,27.6,0
0_7_3,6,229.697,30.9,0
0_7_3,7,226.954,29.4,0
0_7_3,8,245.55,28.88,1
0_7_3,9,286.88,28.65,0
0_7_3,10,337.019,21.12,1
0_7_3,11,360.497,4.9,1
0_7_3,12,366.494,-2.46,1
0_7_3,13,365.482,-2.82,1
0_7_3,14,360.242,1.98,0
0_7_3,15,339.446,19.61,1
0_7_3,16,312.169,29.65,1
0_7_3,17,303.245,34.51,1
0_7_3,18,302.631,37.25,0
0_7_3,19,285.553,33.2,0
0_7_3,20,285.996,33.68,0
0_7_3,21,278.198,12.78,1
0_7_3,22,281.366,13.04,1
0_7_3,23,266.8,5.06,1
0_8_0,0,140.521,29.78,0
0_8_0,1,172.419,27.99,0
0_8_0,2,209.245,28.87,0
